title,price,link,product_searched,store
"LEAPORIX MALL Sprite Zero Sugar 500ML – Pack of 12 Bottles | No Sugar, Same Great Taste | Crisp Lemon-Lime Flavor | Perfect Cold Drink for Daily Refreshment","Rs. 2,075",https://www.daraz.pk/products/leaporix-mall-sprite-zero-sugar-500ml-pack-of-12-bottles-no-sugar-same-great-taste-crisp-lemon-lime-flavor-perfect-cold-drink-for-daily-refreshment-i833498530.html,Sprite Drink,Daraz
COKE SPRITE SOFT DRINK PET BOTTLE 1.5LTR|47159| |,Rs. 153,https://www.daraz.pk/products/15-wach-47159-i891412850.html,Sprite Drink,Daraz
"Sprite Soft Drink 1.5 Liter | Refreshing Lemon & Lime | Chilled Fizzy Beverage""","Rs. 1,499",https://www.daraz.pk/products/15-i729472445.html,Sprite Drink,Daraz
LEAPORIX MALL | Sprite Lemon-Lime Soda Can 250ml (Pack of 12) | Refreshing Fizzy Drink,"Rs. 2,199",https://www.daraz.pk/products/leaporix-mall-sprite-lemon-lime-soda-can-250ml-pack-of-12-refreshing-fizzy-drink-i832032747.html,Sprite Drink,Daraz
Sprite Lemon Mint Flavor - 500 ml Bottles - 6 -Pack - Energizing Drink for All! 🌟,Rs. 999,https://www.daraz.pk/products/500-6-i739599331.html,Sprite Drink,Daraz
LEAPORIX MALL | Sprite Zero Sugar Drink 250ml Can (Pack of 12) | No Sugar – Full Refreshment | Crisp Lemon-Lime Soda 🥤🍋❄️,"Rs. 1,999",https://www.daraz.pk/products/leaporix-mall-sprite-zero-sugar-drink-250ml-can-pack-of-12-no-sugar-full-refreshment-crisp-lemon-lime-soda-i832030486.html,Sprite Drink,Daraz
Sprite Lemon Mint - 4-Pack (1.5 Litre) - Refreshingly Delicious Citrus Drink! 🌟,"Rs. 1,099",https://www.daraz.pk/products/4-15-i750078163.html,Sprite Drink,Daraz
Sprite Lemon & Lime - 4 Bottles - Refreshing Drink for All Occasions! 🎊,"Rs. 1,099",https://www.daraz.pk/products/4-i750060873.html,Sprite Drink,Daraz
LEAPORIX MALL - Sprite Lemon Lime 1.5L × 4 | Refreshing Citrus Flavored Soft Drink Pack,"Rs. 1,335",https://www.daraz.pk/products/leaporix-mall-sprite-lemon-lime-15l-4-refreshing-citrus-flavored-soft-drink-pack-i833242018.html,Sprite Drink,Daraz
Sprite Soft Drink 500ml | Refreshing Lemon & Lime,"Rs. 1,799",https://www.daraz.pk/products/10-i729495133.html,Sprite Drink,Daraz
Sprite Lemon Mint Flavor Bottles - Pack of 12 - 500 ml - Taste the Refreshment!,"Rs. 1,780",https://www.daraz.pk/products/12-500-i739433268.html,Sprite Drink,Daraz
LEAPORIX MALL - Sprite Lemon Lime 500ml × 12 | Refreshing Soft Drink with Crisp Citrus Flavor,"Rs. 2,175",https://www.daraz.pk/products/leaporix-mall-sprite-lemon-lime-500ml-12-refreshing-soft-drink-with-crisp-citrus-flavor-i833221457.html,Sprite Drink,Daraz
